,car_model,year_of_manufacture,price,fuel
0,Ritz,2014,5000.0,Petrol
1,Sx4,2013,7089.55,Diesel
2,Ciaz,2017,10820.9,Petrol
3,Wagon r,2011,4253.73,Petrol
4,Swift,2014,6865.67,Diesel
5,Vitara brezza,2018,13805.97,Diesel
6,Ciaz,2015,10074.63,Petrol
7,S cross,2015,9701.49,Diesel
8,Ciaz,2016,13059.7,Diesel
9,Ciaz,2015,11119.4,Diesel
10,Alto 800,2017,4253.73,Petrol
11,Ciaz,2015,10223.88,Diesel
12,Ciaz,2015,11194.03,Petrol
13,Ertiga,2015,9104.48,Petrol
14,Dzire,2009,3358.21,Petrol
15,Ertiga,2016,11567.16,Diesel
16,Ertiga,2015,10820.9,Diesel
17,Ertiga,2016,11567.16,Diesel
18,Wagon r,2015,4850.75,CNG
19,Sx4,2010,3955.22,Petrol
20,Alto k10,2016,4253.73,Petrol
21,Ignis,2017,7313.43,Petrol
22,Sx4,2011,6567.16,Petrol
23,Alto k10,2014,3731.34,Petrol
24,Wagon r,2013,4328.36,Petrol
25,Swift,2011,4477.61,Petrol
26,Swift,2013,6194.03,Petrol
27,Swift,2017,8955.22,Petrol
28,Alto k10,2010,2910.45,Petrol
29,Ciaz,2015,11119.4,Diesel
30,Ritz,2012,4626.87,Diesel
31,Ritz,2011,3507.46,Petrol
32,Swift,2014,7388.06,Diesel
33,Ertiga,2014,8955.22,Diesel
34,Dzire,2014,8208.96,Diesel
35,Sx4,2011,4402.99,CNG
36,Dzire,2015,6940.3,Petrol
37,800,2003,522.39,Petrol
38,Alto k10,2016,4477.61,Petrol
39,Sx4,2003,3358.21,Petrol
40,Baleno,2016,8731.34,Petrol
41,Alto k10,2014,3805.97,Petrol
42,Sx4,2008,2910.45,Petrol
43,Dzire,2014,8208.96,Diesel
44,Omni,2012,1865.67,Petrol
45,Ciaz,2014,11194.03,Petrol
46,Ritz,2013,3955.22,Petrol
47,Wagon r,2006,1567.16,Petrol
48,Ertiga,2015,8656.72,Petrol
49,Ciaz,2017,11567.16,Petrol
50,Fortuner,2012,22238.81,Diesel
51,Fortuner,2015,34328.36,Diesel
52,Innova,2017,26865.67,Diesel
53,Fortuner,2013,23880.6,Diesel
54,Innova,2005,4104.48,Petrol
55,Corolla altis,2009,5373.13,Petrol
56,Etios cross,2015,6716.42,Petrol
57,Corolla altis,2010,7089.55,Petrol
58,Etios g,2014,6119.4,Petrol
59,Fortuner,2014,29835.82,Diesel
60,Corolla altis,2013,10373.13,Petrol
61,Etios cross,2015,6716.42,Petrol
62,Fortuner,2014,27985.07,Diesel
63,Fortuner,2015,35074.63,Diesel
64,Fortuner,2017,49253.73,Diesel
65,Etios liva,2014,7089.55,Diesel
66,Innova,2017,29477.61,Petrol
67,Fortuner,2010,13805.97,Diesel
68,Corolla altis,2011,6492.54,Petrol
69,Corolla altis,2016,21268.66,Petrol
70,Etios liva,2014,5895.52,Diesel
71,Corolla altis,2011,6716.42,Diesel
72,Corolla altis,2013,11119.4,Petrol
73,Etios liva,2011,3955.22,Petrol
74,Etios cross,2014,7313.43,Diesel
75,Etios g,2015,5895.52,Petrol
76,Corolla altis,2013,8208.96,Petrol
77,Corolla,2004,2238.81,Petrol
78,Corolla altis,2010,7835.82,Petrol
79,Fortuner,2012,21641.79,Diesel
80,Corolla altis,2016,21985.07,Diesel
81,Etios gd,2015,7089.55,Diesel
82,Innova,2017,34328.36,Diesel
83,Innova,2015,18656.72,Diesel
84,Innova,2005,5208.96,Diesel
85,Camry,2006,3731.34,Petrol
86,Land cruiser,2010,52238.81,Diesel
87,Corolla altis,2012,8805.97,Petrol
88,Etios liva,2013,5149.25,Petrol
89,Etios g,2014,7089.55,Petrol
